Month,Year,Rainfall_mm,WPI
1,2018,29,98.2
2,2018,21,97.8
3,2018,37.5,99.1
4,2018,30.7,100.3
5,2018,52.6,101.5
6,2018,150,103.2
7,2018,299,105.8
8,2018,251.7,107.1
9,2018,179.2,106.4
10,2018,70.5,104.9
11,2018,39.8,102.7
12,2018,10.9,100.1
1,2019,29,101.3
2,2019,21,100.9
3,2019,37.5,102.4
4,2019,30.7,103.8
5,2019,52.6,105.2
6,2019,150,107.1
7,2019,299,109.6
8,2019,251.7,111.2
9,2019,179.2,110.4
10,2019,70.5,108.7
11,2019,39.8,106.3
12,2019,10.9,103.5
1,2020,29,104.2
2,2020,21,103.7
3,2020,37.5,105.3
4,2020,30.7,106.9
5,2020,52.6,108.5
6,2020,150,110.7
7,2020,299,113.4
8,2020,251.7,115.1
9,2020,179.2,114.2
10,2020,70.5,112.3
11,2020,39.8,109.8
12,2020,10.9,106.8
1,2021,29,107.5
2,2021,21,107.0
3,2021,37.5,108.8
4,2021,30.7,110.5
5,2021,52.6,112.3
6,2021,150,114.8
7,2021,299,117.7
8,2021,251.7,119.6
9,2021,179.2,118.5
10,2021,70.5,116.4
11,2021,39.8,113.7
12,2021,10.9,110.4
1,2022,29,111.2
2,2022,21,110.6
3,2022,37.5,112.6
4,2022,30.7,114.5
5,2022,52.6,116.5
6,2022,150,119.3
7,2022,299,122.5
8,2022,251.7,124.6
9,2022,179.2,123.4
10,2022,70.5,121.1
11,2022,39.8,118.2
12,2022,10.9,114.6
