Soil Type,N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,Soil Quality
Loamy,80,40,35,6.5,0.3,1.8,12,1.2,4.5,0.8,3.2,0.5,Good
Clayey,60,30,28,7.0,0.5,1.2,10,0.9,3.8,0.6,2.8,0.4,Moderate
Sandy,40,20,18,6.0,0.2,0.8,8,0.6,2.5,0.4,2.0,0.3,Poor
Saline,30,15,12,8.5,2.5,0.5,6,0.4,2.0,0.3,1.5,0.2,Poor
Loamy,90,45,40,6.8,0.4,2.0,14,1.4,5.0,0.9,3.5,0.6,Good
Clayey,70,35,32,7.2,0.6,1.4,11,1.0,4.0,0.7,3.0,0.45,Moderate
Sandy,45,22,20,6.2,0.25,0.9,9,0.7,2.8,0.45,2.2,0.32,Poor
Saline,35,18,14,8.8,3.0,0.6,7,0.5,2.2,0.35,1.8,0.25,Poor
Loamy,75,38,33,6.6,0.35,1.7,13,1.1,4.3,0.75,3.1,0.48,Good
Clayey,65,32,30,7.1,0.55,1.3,10.5,0.95,3.9,0.65,2.9,0.42,Moderate
Sandy,42,21,19,6.1,0.22,0.85,8.5,0.65,2.6,0.42,2.1,0.31,Poor
Loamy,85,42,37,6.7,0.38,1.9,13.5,1.3,4.7,0.85,3.3,0.55,Good
Clayey,55,28,25,7.3,0.58,1.1,9.5,0.85,3.6,0.58,2.6,0.38,Moderate
Sandy,38,18,16,5.9,0.2,0.75,7.5,0.55,2.3,0.38,1.9,0.28,Poor
Saline,28,12,10,9.0,3.5,0.4,5.5,0.35,1.8,0.28,1.3,0.18,Poor
Loamy,92,47,42,6.9,0.42,2.1,14.5,1.5,5.2,0.92,3.6,0.62,Good
Clayey,68,33,31,7.0,0.52,1.35,10.8,0.98,3.95,0.68,2.95,0.44,Moderate
Sandy,44,21,19,6.15,0.23,0.88,8.8,0.68,2.7,0.44,2.15,0.315,Poor
Loamy,78,39,34,6.55,0.32,1.75,12.5,1.15,4.4,0.78,3.15,0.49,Good
Clayey,62,31,29,7.15,0.53,1.25,10.2,0.92,3.85,0.62,2.85,0.41,Moderate
