avg_r,avg_g,avg_b,std_r,std_g,std_b,brightness,soil_type,color,texture,condition
147.0,89.3,53.0,10.7,10.7,9.0,96.4,Clay,Grey,Loamy,Wet
106.1,125.4,45.9,29.5,27.0,15.8,92.5,Loamy,Dark Brown,Loamy,Wet
101.0,72.2,50.7,15.3,13.0,18.4,74.6,Clay,Grey,Silty,Wet
148.4,69.3,37.7,18.5,14.5,24.7,85.2,Clay,Grey,Sandy,Wet
204.4,177.2,122.5,25.4,53.3,41.9,168.0,Sandy,Yellowish,Silty,Moist
20.5,20.8,16.0,15.2,14.1,17.5,19.1,Black,Black,Clayey,Moist
133.5,110.9,107.8,23.5,19.2,26.4,117.4,Alluvial,Brown,Sandy,Moist
199.8,87.6,51.8,29.9,38.0,17.2,113.1,Red,Reddish,Clayey,Moist
92.7,73.0,46.7,12.6,22.1,14.1,70.8,Clay,Grey,Loamy,Wet
122.6,65.6,59.1,9.3,24.8,21.1,82.4,Clay,Grey,Loamy,Wet
178.0,178.5,139.5,43.2,52.8,44.5,165.3,Sandy,Yellowish,Loamy,Moist
38.7,23.3,11.6,9.7,9.9,15.9,24.5,Black,Black,Loamy,Moist
163.2,128.3,76.0,29.3,30.2,26.2,122.5,Alluvial,Brown,Clayey,Moist
139.6,131.4,91.4,15.5,17.2,15.6,120.8,Alluvial,Brown,Clayey,Moist
29.4,27.7,32.7,8.7,11.2,16.3,29.9,Black,Black,Loamy,Moist
74.6,104.5,52.3,28.7,26.5,23.4,77.1,Loamy,Dark Brown,Silty,Wet
138.2,67.5,61.8,17.2,21.7,23.2,89.2,Clay,Grey,Clayey,Wet
116.6,113.7,91.4,31.4,32.2,15.1,107.2,Alluvial,Brown,Loamy,Moist
186.7,158.9,106.0,35.1,53.3,34.7,150.5,Sandy,Yellowish,Loamy,Moist
32.1,16.6,16.3,8.7,15.4,15.7,21.7,Black,Black,Sandy,Moist
49.9,21.7,34.4,11.2,5.5,10.2,35.3,Black,Black,Sandy,Wet
197.2,171.2,122.4,41.6,42.8,27.4,163.6,Sandy,Yellowish,Loamy,Moist
179.7,182.1,123.5,54.5,37.0,49.5,161.8,Sandy,Yellowish,Loamy,Moist
24.5,27.7,27.4,17.9,9.9,8.3,26.5,Black,Black,Silty,Moist
202.4,163.9,104.8,53.2,36.9,40.5,157.0,Sandy,Yellowish,Loamy,Moist
40.3,33.4,15.2,13.1,15.4,8.4,29.6,Black,Black,Loamy,Moist
218.4,70.7,32.8,39.9,39.1,29.0,107.3,Red,Reddish,Loamy,Moist
177.5,161.2,135.0,50.4,50.7,37.1,157.9,Sandy,Yellowish,Sandy,Moist
95.0,66.5,62.0,18.3,8.2,9.7,74.5,Clay,Grey,Clayey,Wet
20.2,19.0,23.7,15.4,14.8,8.4,21.0,Black,Black,Sandy,Moist
104.2,73.0,57.4,19.0,22.4,19.2,78.2,Clay,Grey,Sandy,Wet
120.5,85.5,42.5,18.0,24.6,16.3,82.8,Clay,Grey,Loamy,Wet
187.4,164.0,132.3,45.1,50.9,31.9,161.2,Sandy,Yellowish,Loamy,Moist
192.9,180.7,102.2,54.8,39.1,33.4,158.6,Sandy,Yellowish,Silty,Moist
199.9,188.1,116.5,41.6,42.2,54.4,168.2,Sandy,Yellowish,Loamy,Moist
93.1,132.6,59.3,15.1,22.0,28.9,95.0,Loamy,Dark Brown,Silty,Wet
192.8,153.9,130.8,54.7,29.2,40.5,159.1,Sandy,Yellowish,Silty,Moist
196.7,77.9,46.1,24.0,22.3,35.2,106.9,Red,Reddish,Clayey,Moist
208.0,86.5,40.3,27.5,35.0,31.2,111.6,Red,Reddish,Loamy,Moist
157.7,153.4,86.9,22.5,16.9,26.6,132.7,Alluvial,Brown,Silty,Moist
188.6,171.7,114.3,42.7,25.9,26.1,158.2,Sandy,Yellowish,Silty,Moist
142.2,119.6,111.4,20.4,34.3,24.1,124.4,Alluvial,Brown,Silty,Moist
81.7,110.6,76.5,14.5,14.4,29.5,89.6,Loamy,Dark Brown,Silty,Wet
112.5,123.9,91.7,29.9,20.0,18.7,109.4,Alluvial,Brown,Silty,Moist
40.7,16.5,32.9,11.6,8.6,6.4,30.0,Black,Black,Sandy,Moist
86.8,137.7,78.2,22.0,23.0,19.6,100.9,Loamy,Dark Brown,Loamy,Moist
162.0,80.3,25.4,17.9,16.2,16.0,89.3,Red,Reddish,Silty,Wet
